date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:24	366/366	---M-Z	200	added ('OK')	text/plain	date:Wed,%2011%20Oct%202017%2003:36:24%20GMT	http://www.angeluccijewelry.com/robots.txt		(from )
20:36:25	91052/91052	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Oct%202017%2003:36:24%20GMT	http://www.angeluccijewelry.com/	C:/My%20Web%20Sites/Jewelry/www.angeluccijewelry.com/index.html	(from )
20:36:26	3937/3937	---M--	200	added ('OK')	image/png	etag:%229e45c422f234754c99808c008c7bb3c9%22	https://d3ciwvs59ifrt8.cloudfront.net/6d31818b-4168-4418-a50e-d55cd23b949e/39ba1460-c0af-4a14-9f3c-2e17c0ac7899.png	C:/My%20Web%20Sites/Jewelry/d3ciwvs59ifrt8.cloudfront.net/6d31818b-4168-4418-a50e-d55cd23b949e/39ba1460-c0af-4a14-9f3c-2e17c0ac7899.png	(from http://www.angeluccijewelry.com/)
20:36:27	142/142	---M--	302	error ('Found')	text/xml	date:Wed,%2011%20Oct%202017%2003:36:27%20GMT	http://www.angeluccijewelry.com/blog/rss/feeds	C:/My%20Web%20Sites/Jewelry/www.angeluccijewelry.com/blog/rss/feeds	(from http://www.angeluccijewelry.com/)
20:36:28	4517/4517	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Oct%202017%2003:36:27%20GMT	http://www.angeluccijewelry.com/errorPage.aspx?error=500	C:/My%20Web%20Sites/Jewelry/www.angeluccijewelry.com/errorPageaa36.html	(from http://www.angeluccijewelry.com/)
20:36:30	331885/331885	---M-Z	200	added ('OK')	text/css	etag:%22809457c51b38d31:0%22	https://flexblocks.mopro.com/css/custom-flex.css?bust=v196	C:/My%20Web%20Sites/Jewelry/flexblocks.mopro.com/css/custom-flex769e.css	(from http://www.angeluccijewelry.com/)
20:36:34	14637/14637	---M-Z	200	added ('OK')	application/javascript	etag:%2208b2f13d735d31:0%22	http://d1qgs0cj2a6pkw.cloudfront.net/moprosuite/v210/uikit/_static/_js/lib/require.js	C:/My%20Web%20Sites/Jewelry/d1qgs0cj2a6pkw.cloudfront.net/moprosuite/v210/uikit/_static/_js/lib/require.js	(from http://www.angeluccijewelry.com/)
20:36:34	536618/536618	---MCZ	200	added ('OK')	text/css	date:Wed,%2011%20Oct%202017%2003:36:28%20GMT	http://www.angeluccijewelry.com/csslint.ashx?id=e0788fc8-fd73-407a-9f7b-e5f8c4d0b9fc&bust=20170815095829450	C:/My%20Web%20Sites/Jewelry/www.angeluccijewelry.com/csslint8543.css	(from http://www.angeluccijewelry.com/)
20:36:35	43681/43681	---M-Z	200	added ('OK')	application/javascript	etag:%228060e0635c27d31:0%22	http://d1qgs0cj2a6pkw.cloudfront.net/moprosuite/v210/create/_static2/_js/app.js	C:/My%20Web%20Sites/Jewelry/d1qgs0cj2a6pkw.cloudfront.net/moprosuite/v210/create/_static2/_js/app.js	(from http://www.angeluccijewelry.com/)
20:36:35	32708/32708	---M-Z	200	added ('OK')	image/jpeg	etag:%2253fdd11e8785740a734943d353d61d84%22	https://d3ciwvs59ifrt8.cloudfront.net/f41eae21-d6f8-455c-85b7-7f9b2fc82782/a0594373-cb7b-4417-8ea2-be0b8e431aad_h.jpeg?cache=new	C:/My%20Web%20Sites/Jewelry/d3ciwvs59ifrt8.cloudfront.net/f41eae21-d6f8-455c-85b7-7f9b2fc82782/a0594373-cb7b-4417-8ea2-be0b8e431aad_h1798.jpg	(from http://www.angeluccijewelry.com/)
20:36:35	126035/126035	---M-Z	200	added ('OK')	image/jpeg	etag:%229286cc46f53e361a0fc460ea9b4908ee%22	https://d3ciwvs59ifrt8.cloudfront.net/6d31818b-4168-4418-a50e-d55cd23b949e/e26c5deb-a7cf-4d4e-95ab-766a6963db55_h.jpg?cache=new	C:/My%20Web%20Sites/Jewelry/d3ciwvs59ifrt8.cloudfront.net/6d31818b-4168-4418-a50e-d55cd23b949e/e26c5deb-a7cf-4d4e-95ab-766a6963db55_h1798.jpg	(from http://www.angeluccijewelry.com/)
20:36:35	4325/4325	---M--	200	added ('OK')	image/png	etag:%2281ea5b3e6acdf795aa801c93f7e00dfb%22	https://d3ciwvs59ifrt8.cloudfront.net/ac43dadb-03fb-421c-a378-ae8be25f7b09/6fbab304-2234-443f-b7b4-a8edb6bfe654.png	C:/My%20Web%20Sites/Jewelry/d3ciwvs59ifrt8.cloudfront.net/ac43dadb-03fb-421c-a378-ae8be25f7b09/6fbab304-2234-443f-b7b4-a8edb6bfe654.png	(from http://www.angeluccijewelry.com/)
20:36:37	50861/50861	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Oct%202017%2003:36:35%20GMT	http://www.angeluccijewelry.com/about	C:/My%20Web%20Sites/Jewelry/www.angeluccijewelry.com/about.html	(from http://www.angeluccijewelry.com/)
20:36:37	31248/31248	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Oct%202017%2003:36:36%20GMT	http://www.angeluccijewelry.com/shop	C:/My%20Web%20Sites/Jewelry/www.angeluccijewelry.com/shop.html	(from http://www.angeluccijewelry.com/)
20:36:38	49914/49914	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Oct%202017%2003:36:37%20GMT	http://www.angeluccijewelry.com/custom-work	C:/My%20Web%20Sites/Jewelry/www.angeluccijewelry.com/custom-work.html	(from http://www.angeluccijewelry.com/)
20:36:39	35680/35680	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Oct%202017%2003:36:38%20GMT	http://www.angeluccijewelry.com/designers	C:/My%20Web%20Sites/Jewelry/www.angeluccijewelry.com/designers.html	(from http://www.angeluccijewelry.com/)
20:36:41	47351/47351	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Oct%202017%2003:36:39%20GMT	http://www.angeluccijewelry.com/blog	C:/My%20Web%20Sites/Jewelry/www.angeluccijewelry.com/blog.html	(from http://www.angeluccijewelry.com/)
20:36:41	32765/32765	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Oct%202017%2003:36:40%20GMT	http://www.angeluccijewelry.com/social	C:/My%20Web%20Sites/Jewelry/www.angeluccijewelry.com/social.html	(from http://www.angeluccijewelry.com/)
20:36:41	46044/46044	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Oct%202017%2003:36:41%20GMT	http://www.angeluccijewelry.com/contact	C:/My%20Web%20Sites/Jewelry/www.angeluccijewelry.com/contact.html	(from http://www.angeluccijewelry.com/)
20:36:42	114180/114180	---M--	200	added ('OK')	image/jpeg	etag:%226a9255338a0c409a36f0a613aec595b0%22	https://d3ciwvs59ifrt8.cloudfront.net/6d31818b-4168-4418-a50e-d55cd23b949e/36b7a921-ad56-41df-910a-6243385d3751.jpeg	C:/My%20Web%20Sites/Jewelry/d3ciwvs59ifrt8.cloudfront.net/6d31818b-4168-4418-a50e-d55cd23b949e/36b7a921-ad56-41df-910a-6243385d3751.jpg	(from http://www.angeluccijewelry.com/)
20:36:42	1623191/1623191	---M--	200	added ('OK')	image/jpeg	etag:%22d7c2b36a4fa74c33cb99692fe9db5ef7%22	https://d3ciwvs59ifrt8.cloudfront.net/6d31818b-4168-4418-a50e-d55cd23b949e/f193d5f3-e85f-4e62-8fb9-c7c4d09e01bd.jpg	C:/My%20Web%20Sites/Jewelry/d3ciwvs59ifrt8.cloudfront.net/6d31818b-4168-4418-a50e-d55cd23b949e/f193d5f3-e85f-4e62-8fb9-c7c4d09e01bd.jpg	(from http://www.angeluccijewelry.com/)
20:36:43	1561633/1561633	---M--	200	added ('OK')	image/jpeg	etag:%22a00b85754595ebd44a535f100c9e2b74%22	https://d3ciwvs59ifrt8.cloudfront.net/f9e4de2d-447f-479e-b66c-4e68979c5358/672a8dab-e0e6-4283-8daf-e3b6e73f46d4.jpg	C:/My%20Web%20Sites/Jewelry/d3ciwvs59ifrt8.cloudfront.net/f9e4de2d-447f-479e-b66c-4e68979c5358/672a8dab-e0e6-4283-8daf-e3b6e73f46d4.jpg	(from http://www.angeluccijewelry.com/)
20:36:43	1355204/1355204	---M--	200	added ('OK')	image/jpeg	etag:%22d4dbe1e76a489ff5f63251dae966d68a%22	https://d3ciwvs59ifrt8.cloudfront.net/6d31818b-4168-4418-a50e-d55cd23b949e/72fc909b-9d89-45f2-88b3-e7712cbaec55.jpg	C:/My%20Web%20Sites/Jewelry/d3ciwvs59ifrt8.cloudfront.net/6d31818b-4168-4418-a50e-d55cd23b949e/72fc909b-9d89-45f2-88b3-e7712cbaec55.jpg	(from http://www.angeluccijewelry.com/)
20:36:46	31283/31283	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Oct%202017%2003:36:44%20GMT	http://www.angeluccijewelry.com/wedding-and-engagement-shop	C:/My%20Web%20Sites/Jewelry/www.angeluccijewelry.com/wedding-and-engagement-shop.html	(from http://www.angeluccijewelry.com/)
20:36:47	31259/31259	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Oct%202017%2003:36:47%20GMT	http://www.angeluccijewelry.com/diamond-search-shop	C:/My%20Web%20Sites/Jewelry/www.angeluccijewelry.com/diamond-search-shop.html	(from http://www.angeluccijewelry.com/)
20:36:48	31279/31279	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Oct%202017%2003:36:47%20GMT	http://www.angeluccijewelry.com/necklaces-and-pendants-shop	C:/My%20Web%20Sites/Jewelry/www.angeluccijewelry.com/necklaces-and-pendants-shop.html	(from http://www.angeluccijewelry.com/)
20:36:48	31252/31252	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Oct%202017%2003:36:47%20GMT	http://www.angeluccijewelry.com/precision-cut-gemstones-shop	C:/My%20Web%20Sites/Jewelry/www.angeluccijewelry.com/precision-cut-gemstones-shop.html	(from http://www.angeluccijewelry.com/)
20:36:48	3420/3420	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2011%20Oct%202017%2003:36:48%20GMT	http://www.angeluccijewelry.com/'https://d3ciwvs59ifrt8.cloudfront.net/1d0f867a-0e9d-437b-82e5-5e9fde6477de/1e4f362d-2f07-486a-8e4d-e69b30514450_l.jpg'	C:/My%20Web%20Sites/Jewelry/www.angeluccijewelry.com/'https_/d3ciwvs59ifrt8.cloudfront.net/1d0f867a-0e9d-437b-82e5-5e9fde6477de/1e4f362d-2f07-486a-8e4d-e69b30514450_l.jpg'	(from http://www.angeluccijewelry.com/)
